广东频道,#genre#
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8
广东珠江,http://121.13.165.98:8000/udp/239.77.0.1:5146
广东珠江,http://113.83.248.110:4200/udp/239.77.0.114:5146
广东珠江,http://120.197.112.28:8800/hls/33/index.m3u8
广东珠江,http://113.83.248.110:4200/udp/239.77.0.1:5146
广东珠江,http://218.13.170.98:9901/tsfile/live/1000_1.m3u8
广东珠江,http://14.29.76.30:9901/tsfile/live/1003_1.m3u8
广东珠江,http://61.146.224.42:8088/hls/2/index.m3u8
广东珠江,http://116.23.99.235:50000/udp/239.77.0.3:5146
广东珠江,http://116.23.99.235:50000/udp/239.77.1.94:5146
广东珠江,https://histar.zapi.us.kg/?id=gdzj
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东体育,http://222.83.134.143:8181/tsfile/live/1010_1.m3u8
广东体育,http://183.236.32.24:9901/hls/1039/index.m3u8
广东体育,http://116.21.123.201:8000/udp/239.77.1.97:5146
广东体育,http://api2.52tb.xyz/info?id=414&token=20230326xflvzc
广东体育,http://gmxw.7766.org:808/hls/2/index.m3u8
广东体育,http://hlsbkmgsplive.miguvideo.com/wd_r3/2018/nfmedia/gdty/350/index.m3u8?&encrypt=
广东体育,http://hlsbkmgsplive.miguvideo.com/wd_r3/2018/nfmedia/gdty/1000/index.m3u8?&encrypt=
广东体育,https://histar.zapi.us.kg/?id=gdty
广东新闻,http://14.212.185.27:9901/tsfile/live/1000_1.m3u8
广东新闻,http://120.197.112.28:8800/hls/74/index.m3u8
广东新闻,http://61.146.224.42:8088/hls/3/index.m3u8
广东新闻,http://183.237.246.14:9931/tsfile/live/1012_1.m3u8
广东新闻,http://1b6467f415.iok.la:9931/tsfile/live/1012_1.m3u8
广东新闻,http://121.33.239.242:9901/tsfile/live/1008_1.m3u8
广东新闻,http://14.29.76.30:9901/tsfile/live/1001_1.m3u8
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8
广东新闻,http://mom.cloudns.be:9901/tsfile/live/1008_1.m3u8
广东新闻,http://gmxw.7766.org:808/hls/5/index.m3u8
广东新闻,https://histar.zapi.us.kg/?id=gdxw
广东卫视,http://121.13.165.98:8000/udp/239.77.0.84:5146
广东卫视,http://fangke.blueswords.com:9901/tsfile/live/0142_1.m3u8
广东卫视,http://xyt.186738613.xyz/lngd.php?id=092&Cf.m3u8
广东卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000014176/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=3
广东卫视,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024060902.m3u8
广东卫视,http://116.208.11.27:88/hls/30/index.m3u8
广东卫视,http://14.29.76.30:9901/tsfile/live/0125_1.m3u8
广东卫视,http://1.30.18.218:20080/hls/59/index.m3u8
广东卫视,http://59.44.102.18:8888/newlive/live/hls/38/live.m3u8
广东卫视,http://124.94.193.136:9902/tsfile/live/0125_1.m3u8
广东卫视,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024060903.m3u8
广东卫视,http://xxw.me0.cn/api/migu.php?id=28
广东卫视,http://metatvpro.xyz:25461/W1045/4329/417
广东卫视,https://histar.zapi.us.kg/?id=guangdong
广东卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265034/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265034&livemode=1&stbId=3
大湾区卫视,http://14.212.185.27:9901/tsfile/live/1004_1.m3u8
大湾区卫视,https://histar.zapi.us.kg/?id=gdwqws
广州综合,https://histar.zapi.us.kg/?id=gzzh
广州竞赛,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=057c43946c61f665a7cbbfef9f228555&txTime=1913a1cfc6d
广州竞赛,https://histar.zapi.us.kg/?id=gzjs
广州影视,https://histar.zapi.us.kg/?id=gzys
深圳卫视,http://ikuai.zlsip.top:4022/rtp/239.3.1.134:8020
深圳卫视,http://xyt.186738613.xyz/lngd.php?id=100&Cf.m3u8
深圳卫视,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024061302.m3u8
深圳卫视,http://58.220.219.14:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024061303.m3u8
深圳卫视,http://59.44.102.18:8888/newlive/live/hls/39/live.m3u8
深圳卫视,https://histar.zapi.us.kg/?id=shenzhen
深圳卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265028/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265028&livemode=1&stbId=3
央视频道,#genre#
CCTV-3,http://171.117.43.18:9999/tsfile/live/0003_1.m3u8
CCTV-4,http://171.117.43.18:9999/tsfile/live/0004_1.m3u8
CCTV-5,http://171.117.43.18:9999/tsfile/live/0005_1.m3u8
CCTV-6,http://202.100.46.58:9901/tsfile/live/1005_1.m3u8
CCTV-8,http://171.117.43.18:9999/tsfile/live/0008_1.m3u8
CCTV-9,http://171.117.43.18:9999/tsfile/live/0009_1.m3u8
CCTV-10,http://171.117.43.18:9999/tsfile/live/0010_1.m3u8
CCTV-14,http://171.117.43.18:9999/tsfile/live/0014_1.m3u8
CCTV-16,http://123.189.36.155:9901/tsfile/live/1027_1.m3u8
卫视频道,#genre#
大湾区卫视,http://14.212.185.27:9901/tsfile/live/1004_1.m3u8
大湾区卫视,https://histar.zapi.us.kg/?id=gdwqws
广东卫视,http://121.13.165.98:8000/udp/239.77.0.84:5146
广东卫视,http://218.15.214.115:10000/udp/239.77.0.84:5146
广东卫视,http://xyt.186738613.xyz/lngd.php?id=092&Cf.m3u8
广东卫视,http://fangke.blueswords.com:9901/tsfile/live/0142_1.m3u8
广东卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000014176/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=3
广东卫视,http://106.63.21.209/bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024060902.m3u8
广东卫视,http://116.208.11.27:88/hls/30/index.m3u8
广东卫视,http://14.29.76.30:9901/tsfile/live/0125_1.m3u8
广东卫视,http://1.30.18.218:20080/hls/59/index.m3u8
广东卫视,http://124.94.193.136:9902/tsfile/live/0125_1.m3u8
广东卫视,http://59.44.102.18:8888/newlive/live/hls/38/live.m3u8
广东卫视,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024060903.m3u8
广东卫视,http://xxw.me0.cn/api/migu.php?id=28
广东卫视,http://jxcbn.ws-cdn.gitv.tv/hls/GUANGDHD/index.m3u8?gMac=unknown&livodToken=3372ee
广东卫视,http://metatvpro.xyz:25461/W1045/4329/417
浙江卫视,http://219.159.147.195:9901/tsfile/live/1025_1.m3u8
浙江卫视,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024054703.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://xyt.186738613.xyz/lngd.php?id=094&Cf.m3u8
浙江卫视,http://110.7.129.246:8096/tsfile/live/0124_1.m3u8
浙江卫视,http://www.dsmcloud.top:8888/udp/239.81.0.31:4056
浙江卫视,http://14.29.76.30:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://36.32.174.67:60080/newlive/live/hls/23/live.m3u8
浙江卫视,http://59.44.102.18:8888/newlive/live/hls/36/live.m3u8
